portfolio,project_name,estimated_cost,expenditure_june_19,budget_2019_20
"Natural Resources, Mines and Energy",Hopeland (Linc Energy) Management and Remediation Project,4260,NA,3770
"Natural Resources, Mines and Energy","Abandoned Mines -  Care and Maintenance, Risk Mitigation, Remediation and Consultation",3300,NA,2800
"Natural Resources, Mines and Energy",Rookwood Weir,352000,66000,83000
"Natural Resources, Mines and Energy",Geoscience Data Modernisation Project (Strategic Resources Exploration Program),7125,3766,3359
"Natural Resources, Mines and Energy",Financial Assurance Framework Reform Program,3975,2932,1043
"Natural Resources, Mines and Energy",Water monitoring network,NA,NA,1150
"Natural Resources, Mines and Energy",Stock route network,NA,NA,800
"Natural Resources, Mines and Energy",Systems development,NA,NA,8627
"Natural Resources, Mines and Energy","Other property, plant and equipment",NA,NA,5044
"Natural Resources, Mines and Energy",Townsville Water Security,215000,160000,55000
"Natural Resources, Mines and Energy","Callide Power Station enhancements, overhauls and refurbishment",85794,NA,85794
"Natural Resources, Mines and Energy","Kogan Creek Power Station enhancements, overhauls and refurbishment",84638,NA,84638
"Natural Resources, Mines and Energy",Kogan Creek Mine developments and refurbishment,1836,NA,1836
"Natural Resources, Mines and Energy",Upgrade of corporate information systems to support the business,8405,NA,8405
"Natural Resources, Mines and Energy",Mica Creek Power Station - minor works,9470,8595,875
"Natural Resources, Mines and Energy",Stanwell Power Station - overhauls,227738,37410,33108
"Natural Resources, Mines and Energy",Stanwell Power Station - control system upgrade,23273,14255,8435
"Natural Resources, Mines and Energy",Stanwell Power Station - other sustaining projects,91617,31295,10416
"Natural Resources, Mines and Energy",Tarong Power Station - overhauls,240958,34771,69250
"Natural Resources, Mines and Energy",Tarong Power Station - ash off take project,16673,310,16224
"Natural Resources, Mines and Energy",Tarong Power Station - other sustaining projects,96083,38457,16211
"Natural Resources, Mines and Energy",Meandu Mine - overhauls,27095,1999,6500
"Natural Resources, Mines and Energy",Meandu Mine - dozer replacement program,31854,NA,3470
"Natural Resources, Mines and Energy",Meandu Mine - fleet ancillary equipment program,16350,NA,355
"Natural Resources, Mines and Energy",Meandu Mine - minor works,61981,11839,20915
"Natural Resources, Mines and Energy",Meandu Mine - development program,63922,5923,3566
"Natural Resources, Mines and Energy",Information and communication technology - hardware and software upgrades,82275,24292,13050
"Natural Resources, Mines and Energy",Information and communication technology - five minute settlements,21369,1495,8397
"Natural Resources, Mines and Energy",Other capital projects,2170,837,584
"Natural Resources, Mines and Energy",Vehicles - Ergon Energy,33410,NA,33410
"Natural Resources, Mines and Energy",Vehicles - Energex,22063,NA,22063
"Natural Resources, Mines and Energy",Tools and equipment,6000,NA,6000
"Natural Resources, Mines and Energy",Tools and equipment,1785,NA,1785
"Natural Resources, Mines and Energy",Searle Street Maryborough redevelopment,4740,210,3000
"Natural Resources, Mines and Energy",Proserpine redevelopment,13636,471,5152
"Natural Resources, Mines and Energy",Property and buildings,70830,17146,27000
"Natural Resources, Mines and Energy",Property - minor program for 2019-20,53002,27174,25300
"Natural Resources, Mines and Energy",Information and communication technologies,29026,NA,29026
"Natural Resources, Mines and Energy",Information and communication technologies,25621,NA,25621
"Natural Resources, Mines and Energy",Cairns Depot development,9137,77,6000
"Natural Resources, Mines and Energy",Cairns - Bunda Street,9593,8083,1000
"Natural Resources, Mines and Energy",Other regulated customer initiated capital work (alternative control services),70190,NA,70190
"Natural Resources, Mines and Energy",Customer initiated works - Sunshine Coast,12396,NA,12396
"Natural Resources, Mines and Energy",Customer initiated works - Ipswich,7110,NA,7110
"Natural Resources, Mines and Energy",Customer initiated works - Brisbane,52502,NA,52502
"Natural Resources, Mines and Energy",Customer initiated works  - Wide Bay/Burnett,6290,NA,6290
"Natural Resources, Mines and Energy",Customer initiated works  - Gold Coast,12852,NA,12852
"Natural Resources, Mines and Energy",Digital office capital expenditure,67489,NA,67489
"Natural Resources, Mines and Energy",Ergon Energy retail capital expenditure,33080,NA,33080
"Natural Resources, Mines and Energy",Yurika digital platform,32200,6200,13000
"Natural Resources, Mines and Energy",Barcaldine Power Station upgrade,4200,2400,1800
"Natural Resources, Mines and Energy",Infrastructure services,218300,42000,79900
"Natural Resources, Mines and Energy",Unregulated metering/metering dynamics,264000,42900,46300
"Natural Resources, Mines and Energy",Other isolated capital work,25201,NA,25201
"Natural Resources, Mines and Energy",Multiple site line reconductor program,1064,NA,220
"Natural Resources, Mines and Energy",Isolated systems augmentation and upgrades,13312,9571,750
"Natural Resources, Mines and Energy",Environment related projects - Torres Strait,2124,1713,411
"Natural Resources, Mines and Energy",Other regulated customer initiated capital work (standard control services),71358,NA,71358
"Natural Resources, Mines and Energy",Connections - Sunshine Coast,12782,NA,12782
"Natural Resources, Mines and Energy",Connections - Ipswich,3815,NA,3815
"Natural Resources, Mines and Energy",Connections - Gold Coast,7830,NA,7830
"Natural Resources, Mines and Energy",Connections - Brisbane,42494,NA,42494
"Natural Resources, Mines and Energy",Hendra Substation upgrade,2679,263,2395
"Natural Resources, Mines and Energy",Mt Crosby Substation,20036,1739,3284
"Natural Resources, Mines and Energy",Yarranlea Substation upgrade,8137,4486,3576
"Natural Resources, Mines and Energy",Toowong Substation upgrade,3757,302,3447
"Natural Resources, Mines and Energy",Toolara Forest Substation upgrade,5415,4017,1398
"Natural Resources, Mines and Energy",Surfers Paradise Substation upgrade,8462,316,632
"Natural Resources, Mines and Energy",Richlands Substation upgrade,4386,537,3047
"Natural Resources, Mines and Energy",Redcliffe Substation upgrade,7871,2332,3875
"Natural Resources, Mines and Energy",Queensport-Bulimba underground feeder,5513,5217,295
"Natural Resources, Mines and Energy",Protection replacement,10229,7651,2578
"Natural Resources, Mines and Energy",Other regulated network initiated capital work - replacements,216783,NA,216783
"Natural Resources, Mines and Energy",Network initiated replacement works - Wide Bay,2804,NA,2804
"Natural Resources, Mines and Energy",Network initiated replacement works - Sunshine Coast,31461,NA,31461
"Natural Resources, Mines and Energy",Network initiated replacement works - Ipswich,10747,NA,10747
"Natural Resources, Mines and Energy",Network initiated replacement works - Gold Coast,19001,NA,19001
"Natural Resources, Mines and Energy",Network initiated replacement works - Brisbane,91735,NA,91735
"Natural Resources, Mines and Energy",Meeandah - Whinstanes underground feeder,8692,5585,3084
"Natural Resources, Mines and Energy",Mackay Tennyson Street Substation upgrade,21655,14276,5629
"Natural Resources, Mines and Energy",Low voltage small copper replacement (stage 2 and 3),98484,6695,10979
"Natural Resources, Mines and Energy",Lota Substation upgrade,3912,3820,92
"Natural Resources, Mines and Energy",Kilcoy Substation upgrade,10794,520,7999
"Natural Resources, Mines and Energy",Kenmore Substation upgrade,3072,1889,1183
"Natural Resources, Mines and Energy",Inala Substation upgrade,3990,3796,194
"Natural Resources, Mines and Energy",Howard Substation upgrade,8195,2160,3521
"Natural Resources, Mines and Energy",Herring Lagoon Substation upgrade,3165,3115,50
"Natural Resources, Mines and Energy",Hendra - Nundah underground feeder,8398,275,631
"Natural Resources, Mines and Energy",Hendra - Clayfield underground feeder,11742,10313,1427
"Natural Resources, Mines and Energy",Hemmant Substation upgrade,8957,6691,2266
"Natural Resources, Mines and Energy",Glenore Grove Substation upgrade,5804,174,3614
"Natural Resources, Mines and Energy",Emerald Cornet Substation upgrade,3477,708,1773
"Natural Resources, Mines and Energy",Dysart Substation upgrade,12839,9910,2889
"Natural Resources, Mines and Energy",Conductor Clearance to Structure,40170,NA,40170
"Natural Resources, Mines and Energy",Clayfield Substation upgrade,8006,2766,4360
"Natural Resources, Mines and Energy",Chermside Substation upgrade,5595,2140,685
"Natural Resources, Mines and Energy",Charters Towers Substation upgrade,3930,3235,695
"Natural Resources, Mines and Energy",Barcaldine Substation upgrade,3411,NA,1567
"Natural Resources, Mines and Energy",Gracemere Substation,11520,1490,1037
"Natural Resources, Mines and Energy",SunCoast Power Project,106718,59300,47418
"Natural Resources, Mines and Energy",Safety net implementation,7324,6731,356
"Natural Resources, Mines and Energy",Other regulated network initiated capital work - augmentation,43601,NA,43601
"Natural Resources, Mines and Energy",Network initiated capacity augmentation - Sunshine Coast,16503,NA,16503
"Natural Resources, Mines and Energy",Network initiated capacity augmentation - Ipswich,5345,NA,5345
"Natural Resources, Mines and Energy",Network initiated capacity augmentation - Gold Coast,10422,NA,10422
"Natural Resources, Mines and Energy",Network initiated capacity augmentation - Brisbane,34541,NA,34541
"Natural Resources, Mines and Energy",Bouldercombe primary plant replacement,22800,4678,7722
"Natural Resources, Mines and Energy",Callide A / Calvale 132kV network reinvestment,34800,12923,5693
"Natural Resources, Mines and Energy",Calvale & Callide B secondary systems replacement,21800,11477,5500
"Natural Resources, Mines and Energy",Collinsville to Proserpine transmission line refit,34300,27422,6613
"Natural Resources, Mines and Energy",Gin Gin Substation rebuild,22800,15326,6012
"Natural Resources, Mines and Energy",Mackay Substation replacement,28000,23047,3695
"Natural Resources, Mines and Energy",Nebo primary plant replacement,22500,14878,2262
"Natural Resources, Mines and Energy",Nebo secondary systems replacement,21000,11384,3587
"Natural Resources, Mines and Energy",Rocklea Substation secondary systems replacement,21100,16532,1477
"Natural Resources, Mines and Energy",Total non-prescribed transmission network connections,NA,NA,36284
"Natural Resources, Mines and Energy",Total other projects,NA,NA,139102
"Natural Resources, Mines and Energy",Beardmore Dam - Thuraggi Channel repair,1967,1250,717
"Natural Resources, Mines and Energy",Burdekin Falls Dam improvement project - planning works,10131,4204,5927
"Natural Resources, Mines and Energy",Burdekin Falls Dam raising feasibility studies,14258,NA,5831
"Natural Resources, Mines and Energy",Digital Enterprise Business Solution project,14759,NA,12697
"Natural Resources, Mines and Energy",Fairbairn Dam improvement project,40000,21427,18573
"Natural Resources, Mines and Energy",Industrial pipelines non-routine program of capital works,15718,NA,4629
"Natural Resources, Mines and Energy",Irrigation schemes non-routine program of capital works,20612,NA,4381
"Natural Resources, Mines and Energy",Leslie Dam improvement project  - planning works,28834,474,2621
"Natural Resources, Mines and Energy",Mareeba Dimbulah Channel efficiency improvements,17280,1951,5879
"Natural Resources, Mines and Energy",Nogoa Mackenzie Channel efficiency improvements,9260,1169,2198
"Natural Resources, Mines and Energy",Non-infrastructure capital investments,10421,NA,2777
"Natural Resources, Mines and Energy",Other major dam improvement works,36544,NA,6404
"Natural Resources, Mines and Energy",Paradise Dam improvement project - planning works,12080,3070,7818
"Natural Resources, Mines and Energy",Teemburra Dam improvement project - planning works,10797,683,1446
"Natural Resources, Mines and Energy",Capital work orders - Performance Plan reference,1886,1182,704
"Natural Resources, Mines and Energy",Condition assessment of South Trees Pipe,1276,776,500
"Natural Resources, Mines and Energy",Connection to Gladstone Regional Council/Kirkwood Reservoir,4240,884,3356
"Natural Resources, Mines and Energy",Data centre relocation,275,NA,275
"Natural Resources, Mines and Energy",Gladstone Water Treatment Plant to South Gladstone Reservoir Stage 3 Pipeline,1342,142,1200
"Natural Resources, Mines and Energy",Gladstone-Fitzroy Pipeline transition and management,6866,5566,1300
"Natural Resources, Mines and Energy",Hatchery relocation,6663,1380,5283
"Natural Resources, Mines and Energy",Mobile emergency electrical generation unit,991,491,500
"Natural Resources, Mines and Energy",Muster Point - emergency shelter,1706,60,1646
"Natural Resources, Mines and Energy","Offline storage fencing, gates and embankment access barrier gate",495,NA,495
"Natural Resources, Mines and Energy",Offline storage floating barriers around pump inlets,310,NA,310
"Natural Resources, Mines and Energy",Other projects,9009,6720,2289
"Natural Resources, Mines and Energy",Switchboard upgrade - 136 Goondoon Street,375,NA,375
"Natural Resources, Mines and Energy",Power reliability - Hilton to Lake Julius,NA,NA,585
"Natural Resources, Mines and Energy",Other plant and equipment,NA,NA,85
"Natural Resources, Mines and Energy",Mount Isa Terminal Reservoir storage tanks,4324,2546,1778
"Natural Resources, Mines and Energy",Mount Isa City Council Supply - diesel backup,1303,145,1158
"Natural Resources, Mines and Energy",Moondarra to Mount Isa Terminal Reservoir pipeline upgrade,2840,976,1864
"Natural Resources, Mines and Energy",Lake Moondarra Deep Well Pump Station pumps renewal,901,19,882
"Natural Resources, Mines and Energy",Lake Julius power pole replacement,NA,NA,285
"Natural Resources, Mines and Energy",Control systems supervisory control and data acquisition upgrade,384,314,70
"Natural Resources, Mines and Energy",Chlorine dose equipment upgrade,517,367,150
"Natural Resources, Mines and Energy",Asset renewals,NA,NA,470
"Natural Resources, Mines and Energy",Asset enhancement,NA,NA,704
"Natural Resources, Mines and Energy",Mount Crosby East Bank Water Treatment Plant filtration upgrade,34171,5031,5096
"Natural Resources, Mines and Energy",Ewen Maddock Dam safety upgrade - stage 2,23450,1740,8230
"Natural Resources, Mines and Energy",Somerset Dam safety upgrade (planning costs),8879,2688,6191
"Natural Resources, Mines and Energy",Lake Macdonald Dam upgrade - stage 2 (planning costs),19779,11375,8404
"Natural Resources, Mines and Energy",Beaudesert Water Supply Zone upgrade (planning costs),16126,6130,9996
"Natural Resources, Mines and Energy",Water treatment improvements,NA,NA,34371
"Natural Resources, Mines and Energy",Other infrastructure improvements,NA,NA,63269
"Natural Resources, Mines and Energy",Non-infrastructure capital works,NA,NA,9199
"Natural Resources, Mines and Energy",Information and communication technology capital program,NA,NA,8811
"Natural Resources, Mines and Energy",New Renewable Generation,250000,NA,150000
"Natural Resources, Mines and Energy",Wivenhoe Split Yard Creek maintenance,315,NA,315
"Natural Resources, Mines and Energy",Wivenhoe Silo 2 lift,306,NA,306
"Natural Resources, Mines and Energy",Wivenhoe Silo 1 lift,265,NA,265
"Natural Resources, Mines and Energy",Wivenhoe other projects,2000,NA,2000
"Natural Resources, Mines and Energy",Wivenhoe W1 major overhaul preparation work,740,NA,740
"Natural Resources, Mines and Energy",Barron Gorge Hydro other projects,208,NA,208
"Natural Resources, Mines and Energy",Kareeya Hydro bridge upgrade,1400,NA,1400
"Natural Resources, Mines and Energy",Kareeya Hydro connection upgrade,900,NA,900
"Natural Resources, Mines and Energy",Kareeya Hydro Governor Control System,726,NA,726
"Natural Resources, Mines and Energy",Kareeya Hydro essential services shed,300,NA,300
"Natural Resources, Mines and Energy",Kareeya Hydro other projects,1400,NA,1400
"Natural Resources, Mines and Energy",Koombooloomba Hydro other projects,120,NA,120
"Natural Resources, Mines and Energy",Swanbank E major overhaul,44000,NA,44000
"Natural Resources, Mines and Energy",Swanbank E site accommodation,2700,NA,2700
"Natural Resources, Mines and Energy",Swanbank E fast start upgrade,2900,NA,2900
"Natural Resources, Mines and Energy",Swanbank E low part load,800,NA,800
"Natural Resources, Mines and Energy",Swanbank E site reconfiguration,600,NA,600
"Natural Resources, Mines and Energy",Swanbank E heater replacement,450,NA,450
"Natural Resources, Mines and Energy",Swanbank E other projects,800,NA,800
"Natural Resources, Mines and Energy",Corporate - Energy Trading System,NA,NA,4650
"Natural Resources, Mines and Energy",Corporate - Enterprise Resource Planning (ERP) system,NA,NA,2000
"Natural Resources, Mines and Energy",Corporate - asset advisory/TSA transition,NA,NA,1200
"Natural Resources, Mines and Energy",Corporate - general corporate systems,NA,NA,1000
"Natural Resources, Mines and Energy",Corporate - design and build core hosted IT services,NA,NA,500
"Natural Resources, Mines and Energy",Corporate - information technology services - business modelling and implementation,NA,NA,400
"Natural Resources, Mines and Energy",Corporate - information technology services - equipment,NA,NA,300
"Natural Resources, Mines and Energy",Corporate - other projects,NA,NA,500
Public Safety Business Agency,Bracken Ridge replacement permanent fire and rescue station,6766,1753,5013
Public Safety Business Agency,Cairns QFES communications centre upgrade collocated with Queensland Ambulance Service,3000,NA,1000
Public Safety Business Agency,Charlton replacement regional QFES headquarters and new permanent fire and rescue station,16967,500,11067
Public Safety Business Agency,Charters Towers replacement composite fire and rescue station,3000,NA,900
Public Safety Business Agency,El Arish replacement auxiliary fire and rescue station,1800,100,1700
Public Safety Business Agency,Esk replacement auxiliary fire and rescue station,1800,100,1700
Public Safety Business Agency,Gracemere replacement auxiliary fire and rescue station,2200,NA,200
Public Safety Business Agency,Kilkivan replacement QFES complex,1800,200,1600
Public Safety Business Agency,Loganlea replacement permanent fire and rescue station,3500,NA,250
Public Safety Business Agency,Longreach replacement auxiliary fire and rescue station,3100,NA,100
Public Safety Business Agency,Maleny replacement QFES complex,2500,50,500
Public Safety Business Agency,Mossman auxiliary fire and rescue station relocation and upgrade,2000,NA,50
Public Safety Business Agency,Mount Isa QFES complex upgrade,3400,400,2500
Public Safety Business Agency,Pimpama new permanent fire and rescue station,3000,200,2000
Public Safety Business Agency,Pinkenba replacement QFES mechanical workshop,9000,NA,1500
Public Safety Business Agency,Rainbow Beach replacement auxiliary fire and rescue station,2000,NA,200
Public Safety Business Agency,Rathdowney replacement QFES facility,2101,364,1737
Public Safety Business Agency,Rosewood replacement auxiliary fire and rescue station,2000,NA,50
Public Safety Business Agency,Weipa new QFES emergency and disaster centre,1200,400,800
Public Safety Business Agency,West Logan permanent fire and rescue station upgrade,650,250,400
Public Safety Business Agency,Yarrabilba new permanent fire and rescue station,3900,NA,300
Public Safety Business Agency,Yarraman replacement auxiliary fire and rescue station,1500,150,1350
Public Safety Business Agency,QFES minor works,NA,NA,5590
Public Safety Business Agency,QFES strategic land acquisitions,NA,NA,3350
Public Safety Business Agency,QFES rural operations land purchases,NA,NA,200
Public Safety Business Agency,Rural fire appliances,NA,NA,4309
Public Safety Business Agency,Fire and rescue appliances,NA,NA,45712
Public Safety Business Agency,QFES information and communications equipment,NA,NA,3376
Public Safety Business Agency,QFES other plant and equipment,NA,NA,250
Public Safety Business Agency,Arundel new police facility,11500,736,10764
Public Safety Business Agency,Aurukun police facility upgrade,6700,211,640
Public Safety Business Agency,Beaudesert replacement police facility,7095,495,800
Public Safety Business Agency,Biloela replacement police facility,2100,NA,200
Public Safety Business Agency,Caboolture replacement police facility and district headquarters,17296,17152,144
Public Safety Business Agency,Caboolture refurbishment of old police facility,13795,456,1292
Public Safety Business Agency,Coolum replacement police facility,2700,182,1611
Public Safety Business Agency,Highfields new police facility,2769,194,2060
Public Safety Business Agency,Logan Village - Yarrabilba police facility upgrade,550,250,300
Public Safety Business Agency,Nambour replacement police facility,9040,412,100
Public Safety Business Agency,Newtown new police facility,900,200,700
Public Safety Business Agency,Pormpuraaw replacement police facility,8200,243,4894
Public Safety Business Agency,Saibai Island new Community Safety and Security Facility,13066,1013,12053
Public Safety Business Agency,Wacol new QPS Counter-Terrorism and Community Safety Training Centre,52219,8549,28000
Public Safety Business Agency,Wacol new police warehouse facility,20000,14260,5740
Public Safety Business Agency,West End police facility upgrade,4300,158,510
Public Safety Business Agency,QPS air conditioning plant replacement program,NA,NA,4000
Public Safety Business Agency,Closed circuit camera upgrades in various police facilities,NA,NA,2000
Public Safety Business Agency,QPS electricity optimisation program,NA,NA,3500
Public Safety Business Agency,QPS minor works,NA,NA,5800
Public Safety Business Agency,QPS Information and communication technology,NA,NA,11222
Public Safety Business Agency,QPS Public Safety Network,NA,NA,9045
Public Safety Business Agency,QPS new and replacement vehicles,NA,NA,41111
Public Safety Business Agency,QPS vessel management program,NA,NA,5965
Public Safety Business Agency,QPS other plant and equipment,NA,NA,1200
Public Safety Business Agency,Aircraft maintenance,NA,NA,7091
Public Safety Business Agency,Queensland Ambulance Service information systems development,NA,NA,4025
Public Safety Business Agency,Other departmental information systems development,NA,NA,300
Public Safety Business Agency,Other departmental plant and equipment,NA,NA,850
Queensland Corrective Services,Capricornia Correctional Centre expansion,241000,103703,88000
Queensland Corrective Services,Perimeter Security Upgrade Program - stage 2,76579,70579,6000
Queensland Corrective Services,Woodford Correctional Centre - intercoms,13600,NA,5000
Queensland Corrective Services,Princess Alexandra Hospital secure unit,3000,NA,2000
Queensland Corrective Services,Prison Infrastructure,16936,12816,2120
Queensland Corrective Services,Taskforce Flaxton,2200,NA,2200
Queensland Corrective Services,Brisbane Correctional Centre laundry,3000,NA,500
Queensland Corrective Services,"Other acquisitions of property, plant and equipment",NA,NA,20889
Queensland Fire and Emergency Services,Operational equipment,NA,NA,4000
Queensland Fire and Emergency Services,Information systems development,NA,NA,1200
Queensland Fire and Emergency Services,SES on-boarding to the Government Wireless Network,500,250,250
Queensland Fire and Emergency Services,Rural Fire Brigades,NA,NA,185
Queensland Fire and Emergency Services,State Emergency Service,NA,NA,712
Queensland Health,Advancing Queensland's Health Infrastructure Program,230000,26501,34495
Queensland Health,Caboolture Hospital expansion,352900,9100,18400
Queensland Health,Ipswich Hospital expansion - Stage 1A,127500,3500,10000
Queensland Health,Logan Hospital expansion,460871,10242,7500
Queensland Health,Logan Hospital maternity services upgrade,15600,100,400
Queensland Health,Caboolture Hospital multi-storey car park,46610,NA,1650
Queensland Health,Cairns Hospital Central Sterilising Department,1000,721,279
Queensland Health,Cairns Hybrid Theatre,3681,1562,2119
Queensland Health,Gladstone Hospital Emergency Department,42000,11888,22121
Queensland Health,Roma Hospital redevelopment,98100,33682,56448
Queensland Health,Logan Hospital Maternity access road,3048,45,335
Queensland Health,Master planning studies,NA,NA,2157
Queensland Health,Princess Alexandra Hospital cladding project,45545,13197,15700
Queensland Health,Princess Alexandra Hospital Rehabilitation Unit,3000,1646,1354
Queensland Health,Priority Capital Program,NA,NA,80000
Queensland Health,Queensland Children's Hospital Level 12 fitout,20000,252,10651
Queensland Health,Redcliffe Hospital carpark,36780,1296,27015
Queensland Health,Redland Hospital upgrade,1730,365,1365
Queensland Health,Rockhampton drug rehabiliation and treatment facility,9500,134,988
Queensland Health,Blackall Hospital redevelopment,17900,647,2650
Queensland Health,Cairns Hospital Mental Health Unit,70000,1354,2805
Queensland Health,Kingaroy Hospital redevelopment,68900,10538,23830
Queensland Health,Maryborough Hospital Emergency Department,7185,2527,2473
Queensland Health,Maryborough Hospital Specialist Outpatients refurbishment,5000,4364,636
Queensland Health,Mer (Murray) Island building replacement,7000,683,274
Queensland Health,Sarina Hospital redevelopment,16500,329,1041
Queensland Health,Townsville Hospital Clinical Services redevelopment,10400,6038,3861
Queensland Health,Staff accommodation program,13150,6173,3143
Queensland Health,Boulia Primary Health Care Centre refurbishment,7243,1902,3890
Queensland Health,South East Queensland - adolescent mental health facilities,68237,34630,27946
Queensland Health,Caboolture Hospital Emergency Department expansion,19600,17968,1484
Queensland Health,Sunshine Coast University Hospital,1872151,1792125,2740
Queensland Health,Toowoomba Hospital redevelopment detailed business case,9000,753,6385
Queensland Health,University of Queensland Oral Health Centre at Herston,4699,4280,119
Queensland Health,Building works capital project management,NA,NA,850
Queensland Health,Children's Health Queensland Imaging Informatics Program,5900,2976,2924
Queensland Health,Emergent Works Program funding,20000,NA,18000
Queensland Health,Gold Coast Medical Imaging Informatics Program,12800,9436,3364
Queensland Health,Health technology equipment replacement,NA,NA,4334
Queensland Health,Laboratory information systems,60905,33035,17717
Queensland Health,Mareeba Hospital new CT scanner,5000,300,3494
Queensland Health,Queensland Health external cladding taskforce project,8500,4483,4017
Queensland Health,Redcliffe Hospital MRI machine and second CT scanner,16000,NA,3000
Queensland Health,Regional eHealth,34950,28056,6894
Queensland Health,Statewide General Chemistry and Immunoassay Replacement and Automation Project,16511,NA,13010
Queensland Health,Townsville Hospital MRI machine,2350,1919,431
Queensland Health,Minor capital projects and acquisitions,NA,NA,4496
Queensland Health,Information and communications technology,NA,NA,92117
Queensland Health,Health technology equipment,NA,NA,4789
Queensland Health,Minor capital projects and acquisitions,NA,NA,3096
Queensland Health,BreastScreen van for Cairns,900,NA,900
Queensland Health,Health technology equipment,NA,NA,1661
Queensland Health,Minor capital projects and acquisitions,NA,NA,2274
Queensland Health,Health technology equipment,NA,NA,332
Queensland Health,Minor capital projects and acquisitions,NA,NA,760
Queensland Health,Health technology equipment,NA,NA,1764
Queensland Health,Minor capital projects and acquisitions,NA,NA,1668
Queensland Health,Health technology equipment,NA,NA,2925
Queensland Health,Minor capital projects and acquisitions,NA,NA,3518
Queensland Health,ieMR - Toowoomba Hospital,1400,NA,1400
Queensland Health,ieMR - additional commitment,4500,NA,4500
Queensland Health,Toowoomba Hospital Renal Unit,3287,NA,3287
Queensland Health,Health technology equipment,NA,NA,7972
Queensland Health,Minor capital projects and acquisitions,NA,NA,3543
Queensland Health,Health technology equipment,NA,NA,2734
Queensland Health,Minor capital projects and acquisitions,NA,NA,1489
Queensland Health,Proserpine Simulation Laboratory,NA,NA,100
Queensland Health,Health technology equipment,NA,NA,16042
Queensland Health,Minor capital projects and acquisitions,NA,NA,14365
Queensland Health,Acute bed capacity at Redcliffe Hospital,8436,8306,130
Queensland Health,"Caboolture additional 32-bed ward, Stage 2 ward fitout",8560,8471,89
Queensland Health,Nuclear Medicine Hot-Laboratory expansions,6110,5809,236
Queensland Health,Redcliffe Operating Theatre Level 2,5450,767,4118
Queensland Health,Redcliffe Hospital Day Procedure Unit,2694,120,2574
Queensland Health,Royal Brisbane and Women's Hospital Queensland Sony You Can Centre,2478,1912,243
Queensland Health,Royal Brisbane and Women's Hospital Health Support Queensland relocations,4976,3998,192
Queensland Health,Health technology equipment,NA,NA,16741
Queensland Health,Minor capital projects and acquisitions,NA,NA,11086
Queensland Health,Logan Hospital Mental Health Clinical Decision Unit,1531,70,1461
Queensland Health,Logan Hospital modular hospital units,6295,140,6155
Queensland Health,Logan Hospital Maternity Services upgrade,2275,NA,2275
Queensland Health,Health technology equipment,NA,NA,592
Queensland Health,Minor capital projects and acquisitions,NA,NA,869
Queensland Health,Health technology equipment,NA,NA,526
Queensland Health,Minor capital projects and acquisitions,NA,NA,882
Queensland Health,Waroona Dementia Wing,750,NA,750
Queensland Health,Health technology equipment,NA,NA,5548
Queensland Health,Minor capital projects and acquisitions,NA,NA,2969
Queensland Health,Sunshine Coast University Hospital Group 4 ICT Project,66300,53332,4790
Queensland Health,Health technology equipment,NA,NA,892
Queensland Health,Minor capital projects and acquisitions,NA,NA,2334
Queensland Health,Health technology equipment,NA,NA,6537
Queensland Health,Minor capital projects and acquisitions,NA,NA,4763
Queensland Health,Townsville Hospital MRI machine,2350,NA,2350
Queensland Health,Health technology equipment,NA,NA,2371
Queensland Health,Minor capital projects and acquisitions,NA,NA,2537
Queensland Health,Health technology equipment,NA,NA,1569
Queensland Health,Minor capital projects and acquisitions,NA,NA,2125
Queensland Health,Cairns Ambulance Station and Operations Centre redevelopment,5600,414,900
Queensland Health,Drayton new station and local ambulance service networks office,4600,89,1800
Queensland Health,Southport Ambulance and Gold Coast Operations Centre redevelopment,6200,200,300
Queensland Health,Urraween new ambulance station,5500,13,1200
Queensland Health,Kirwan replacement ambulance station,5000,47,1600
Queensland Health,Mareeba replacement ambulance station,2000,19,1600
Queensland Health,Munruben new ambulance station,4000,NA,50
Queensland Health,Rockhampton Ambulance Stations and Operations Centre redevelopment,7000,220,1300
Queensland Health,Yarrabilba new ambulance station,4300,60,1200
Queensland Health,Minor works,NA,NA,5000
Queensland Health,Strategic land acquisitions,NA,NA,1500
Queensland Health,Ambulance vehicle purchases,NA,NA,24000
Queensland Health,Information systems department,NA,NA,6428
Queensland Health,Operational equipment,NA,NA,8827
Queensland Health,Other scientific equiment,NA,NA,4316
Queensland Police Service,Camera Detected Offence Program,NA,NA,3854
Queensland Police Service,Mobile capability,NA,NA,4720
Queensland Police Service,Other plant and equipment,NA,NA,16072
Queensland Treasury,Office of State Revenue Transformation Program,17739,17178,561
Queensland Treasury,Queensland First Home Owners' Grant,NA,NA,109839
Queensland Treasury,Cross River Rail,6725804,849032,1479707
Queensland Treasury,Third party returnable works,162196,NA,49658
"State Development, Manufacturing, Infrastructure and Planning",Grants management system,1702,1472,230
"State Development, Manufacturing, Infrastructure and Planning",Other plant and equipment,NA,NA,1169
"State Development, Manufacturing, Infrastructure and Planning",State Development Area (SDA) acquisitions,12329,NA,12329
"State Development, Manufacturing, Infrastructure and Planning",Building our Regions,355015,184659,97356
"State Development, Manufacturing, Infrastructure and Planning",Other regional assistance programs,90153,80665,9488
"State Development, Manufacturing, Infrastructure and Planning",Roma Street Parklands,NA,NA,5081
